,discipline,CoVer,SPMDIR,MUST,CoVer-MUST,SPMDIR-MUST
LocalConcurrency-lockallflushlocal-accumulate_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-compare_and_swap_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-compare_and_swap_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-fetch_and_op_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-fetch_and_op_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-get_accumulate_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-get_accumulate_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-put_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-put_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-raccumulate_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-raccumulate_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-rget_accumulate_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-rget_accumulate_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-rput_get-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockallflushlocal-rput_rget-001.c,RMA,TP,TP,TP,TP,TP
LocalConcurrency-lockflush-get_accumulate-001.c,RMA,TP,TP,TP,TP,TP
